User,Amount (Wei),Amount (Ether)
0x62be1DaF60c3D0258e86e29a16D2B29c8E5F7174,96058201172788683328508998,96058201.17279
0x5A3425eeF5707702B2c6d91c796741f4b6Fd9def,45746051499037568517987791,45746051.49904
0x212214f9F6c3200d87d962f01B8A230bD982D70f,38584740250086323924239247,38584740.25009
0x8FF179e745Fe110aEcf8456517e12c54a65E9FBB,24248508495756751072426374,24248508.49576
0xa8B8b29851FD363044D0adfFfD44aD1B32606AD3,20680719868960821485389248,20680719.86896
0x9fc5C625e00dEB8042399AD91Fc475Dfa42Cc43c,18024994668631989790816470,18024994.66863
0x610629Af1Cc8543C0e0348F62559801dc4099A76,6866997184402527447713425,6866997.18440
0xD8Adac8947Da34B0e1b44c60953c3e6473e2350e,5375036447566112712570912,5375036.44757
0xA7396814b9946f3fd1616410985aF0258412477c,4886108535827554992849028,4886108.53583
0x28E817C8727728b147Cf9Ec6deFc17317DBe6d00,2484609495413541489122341,2484609.49541
0x0ef792C61375133f06BEcb81d0966b96bbc9cEa2,1681325102249323468518981,1681325.10225
0xEc4ff532E317831227EE504838BdaF0d04B2b5ae,1366018612021054683115038,1366018.61202
0x0c27255e28a67c1eAdA02c7D9513d0A5Da6971d3,1331690545726284345807743,1331690.54573
0xF02b79CB51dbF6239B419440D934F94E9c1B53a1,794992021455602191368554,794992.02146
0x0398E1e805f057709FC2f753105319DDf1eabe2a,754448398238125833319189,754448.39824
0xeEaCe5367588b6483fcb3131Dca559A2a2F9EE0A,655302277441777371104159,655302.27744
0x7fcd0849dE769016B1800dB557D773BAAF26bd01,544639362857896078586730,544639.36286
0x75E4B73B484224b7244e4C2526DD2b80D92E0156,500033499316603247645265,500033.49932
0x359b21b77Efb3f26533E3edB9De8b3Ef8F4e0775,438256790956114401662519,438256.79096
0x9Bbe577CFeC46b4BA3DA15431D37AA592686002f,417479864257440722056025,417479.86426
0xbef4E22bf9696FE4b455C53587e119e455F2fc3B,361104582427666349807491,361104.58243
0x4E2caCaaef3EB72dd774F4E781383dECb32A2C4B,282755022508950570609272,282755.02251
0xfC2B89D22195045161e6419BDf3E5D2744Fbbae7,192163458030721962933782,192163.45803
0x5a0f00A65f23C848a996e149Fc6FFeE11eb0652a,184619641148481612037022,184619.64115
0x4a0577eBd84afFccfEA79e14c652D7C316299A60,157029902177480041506580,157029.90218
0x20bB96117EDc0036E804af5f8b86013b891B73Ab,115000000000000000000000,115000.00000
0xDE4E5b6AeB5Ad571a94e84311aB8b500a002c302,87330843208046181353726,87330.84321
0x5d02c857E98465f5b3a957B1f43569C4dAe58cA0,84615025692709588035749,84615.02569
0x65382f9c06bFc2a43C1FDc23AB9B121461d79743,80024489567973805893147,80024.48957
0x4b9465aC83f10dde59cD6564b61dB25056B459FB,41161136932772662614364,41161.13693
0xFF19abD7E7035fa6480E5095119946a916bF5B4d,31740802413015989606228,31740.80241
0x420B6E95ffBA3B87550625d1AA6faB5FD6BbB4A5,27580729339304772490859,27580.72934
0xc7CFD7838e593e1bd2aeA39062961cC43B717774,20663099313430714312862,20663.09931
0x7119c0835f59331eee0f7Ddd06774183e4e266B3,18528918294536763209307,18528.91829
0x039014F376a14f3cdF0aaCfAcAb3208262B35578,18139648301589545826316,18139.64830
0xD471498a32975dBb19be1A75a753cc7157bE2F04,17767589553702347947062,17767.58955
0x9B0dFf9176410A52Ca04EF7F5B2778b26Ee2A85D,14214188125639422945893,14214.18813
0x4cfeA1f3cd9165B528fF07D24Bf075A75cbcD5e8,12380974801396223077289,12380.97480
0x539D76B1312C6B07Df67052fE75F5CF557EA1AeE,10840040361288642668090,10840.04036
0xaa2631b8A44062b8aBF21e7178Fc353f4e8d44F9,10380403436801903243354,10380.40344
0x768E21C9067f402eE5d414dA33bc0bfE052CC6Cf,6379477955401678344801,6379.47796
0xdF1ab52510B4Ea5e01a24A0d6af516612A78289B,5362984074919846579148,5362.98407
0x11EA7a35bb0546E9901e1f3507C5AD120fE77b7a,4350000000000000000000,4350.00000
0x520014315D1b90e392cAAA0eF09858bF136739A0,2144527843753538641962,2144.52784
0x952AA1Fbe1bAeA47bC5eB077030cd5b7bC401E49,1583083464653343094260,1583.08346
0x683E0FFBe91AEf6aAbf67cDA2c1CCdF53e5f905B,1164285364584713417874,1164.28536
0xFE5D64E5fD73995135a4f88563f5c260D8B63Ae7,1041386718627320893539,1041.38672
0x660e7b07Da0f8F147d25dAbFCbACBa70fd0ed363,905828732462248289206,905.82873
0x75A9F9d4fF67cbF0Bde69f7f49D8bc511272f19b,768184858266114557520,768.18486
0x485F1252f863A482C52490C1771E78ac14B2A78F,141778809304226569476,141.77881
0x3Dc0E87D59B7F6361cd66958C163062a3946D082,6146381049040157557,6.14638
0x21a57DA61E20549399874DB13caF02Eabe54d2f2,200252990856767751,0.20025
0x8e7C101a56f2405e2989AD86704c8DC838b5C1C0,20033716576621544,0.02003
0x010C7fc45bb6C56E7605b9797B6fd3842c920239,10000000000000000,0.01000